Id,username,name,is_crawled
808,user808,Adventurous Jackal,False
809,user809,Adventurous Jaguar,False
810,user810,Adventurous Jay,False
811,user811,Adventurous Jellyfish,False
812,user812,Adventurous Kangaroo,False
813,user813,Adventurous Kinkajou,False
814,user814,Adventurous Koala,False
815,user815,Adventurous Komodo dragon,False
816,user816,Adventurous Kouprey,False
817,user817,Adventurous Kudu,False
818,user818,Adventurous Lapwing,False
819,user819,Adventurous Lark,False
820,user820,Adventurous Lemur,False
821,user821,Adventurous Leopard,False
822,user822,Adventurous Lion,False
823,user823,Adventurous Llama,False
824,user824,Adventurous Lobster,False
825,user825,Adventurous Locust,False
826,user826,Adventurous Loris,False
827,user827,Adventurous Louse,False
828,user828,Adventurous Lyrebird,False
829,user829,Adventurous Magpie,False
830,user830,Adventurous Mallard,False
831,user831,Adventurous Mammoth,False
832,user832,Adventurous Manatee,False
833,user833,Adventurous Mandrill,False
834,user834,Adventurous Mink,False
835,user835,Adventurous Mole,False
836,user836,Adventurous Mongoose,False
837,user837,Adventurous Monkey,False
838,user838,Adventurous Moose,False
839,user839,Adventurous Mosquito,False
840,user840,Adventurous Mouse,False
841,user841,Adventurous Narwhal,False
842,user842,Adventurous Newt,False
843,user843,Adventurous Nightingale,False
844,user844,Adventurous Octopus,False
845,user845,Adventurous Okapi,False
846,user846,Adventurous Opossum,False
847,user847,Adventurous Ostrich,False
848,user848,Adventurous Otter,False
849,user849,Adventurous Owl,False
850,user850,Adventurous Oyster,False
851,user851,Adventurous Panda,False
